tabelcode;datapunt
S.12.01.02.01;R0020C0030
S.12.01.02.01;R0100C0030
S.12.01.02.01;R0110C0030
S.12.01.02.01;R0130C0030
S.12.01.02.01;R0200C0030
S.12.01.02.01;R0030C0040
S.12.01.02.01;R0080C0040
S.12.01.02.01;R0090C0040
S.12.01.02.01;R0120C0040
S.12.01.02.01;R0030C0050
S.12.01.02.01;R0080C0050
S.12.01.02.01;R0090C0050
S.12.01.02.01;R0120C0050
S.12.01.02.01;R0010C0060
S.12.01.02.01;R0020C0060
S.12.01.02.01;R0100C0060
S.12.01.02.01;R0110C0060
S.12.01.02.01;R0130C0060
S.12.01.02.01;R0200C0060
S.12.01.02.01;R0030C0070
S.12.01.02.01;R0080C0070
S.12.01.02.01;R0090C0070
S.12.01.02.01;R0120C0070
S.12.01.02.01;R0030C0080
S.12.01.02.01;R0080C0080
S.12.01.02.01;R0090C0080
S.12.01.02.01;R0120C0080
S.12.01.02.01;R0010C0090
S.12.01.02.01;R0020C0090
S.12.01.02.01;R0030C0090
S.12.01.02.01;R0080C0090
S.12.01.02.01;R0090C0090
S.12.01.02.01;R0100C0090
S.12.01.02.01;R0110C0090
S.12.01.02.01;R0120C0090
S.12.01.02.01;R0130C0090
S.12.01.02.01;R0200C0090
S.12.01.02.01;R0010C0100
S.12.01.02.01;R0020C0100
S.12.01.02.01;R0030C0100
S.12.01.02.01;R0080C0100
S.12.01.02.01;R0090C0100
S.12.01.02.01;R0100C0100
S.12.01.02.01;R0110C0100
S.12.01.02.01;R0120C0100
S.12.01.02.01;R0130C0100
S.12.01.02.01;R0200C0100
S.12.01.02.01;R0010C0150
S.12.01.02.01;R0020C0150
S.12.01.02.01;R0030C0150
S.12.01.02.01;R0080C0150
S.12.01.02.01;R0090C0150
S.12.01.02.01;R0100C0150
S.12.01.02.01;R0110C0150
S.12.01.02.01;R0120C0150
S.12.01.02.01;R0130C0150
S.12.01.02.01;R0200C0150
S.12.01.02.01;R0010C0160
S.12.01.02.01;R0020C0160
S.12.01.02.01;R0100C0160
S.12.01.02.01;R0110C0160
S.12.01.02.01;R0130C0160
S.12.01.02.01;R0200C0160
S.12.01.02.01;R0030C0170
S.12.01.02.01;R0080C0170
S.12.01.02.01;R0090C0170
S.12.01.02.01;R0120C0170
S.12.01.02.01;R0030C0180
S.12.01.02.01;R0080C0180
S.12.01.02.01;R0090C0180
S.12.01.02.01;R0120C0180
S.12.01.02.01;R0010C0190
S.12.01.02.01;R0020C0190
S.12.01.02.01;R0030C0190
S.12.01.02.01;R0080C0190
S.12.01.02.01;R0090C0190
S.12.01.02.01;R0100C0190
S.12.01.02.01;R0110C0190
S.12.01.02.01;R0120C0190
S.12.01.02.01;R0130C0190
S.12.01.02.01;R0200C0190
S.12.01.02.01;R0010C0200
S.12.01.02.01;R0020C0200
S.12.01.02.01;R0030C0200
S.12.01.02.01;R0080C0200
S.12.01.02.01;R0090C0200
S.12.01.02.01;R0100C0200
S.12.01.02.01;R0110C0200
S.12.01.02.01;R0120C0200
S.12.01.02.01;R0130C0200
S.12.01.02.01;R0200C0200
S.12.01.02.01;R0010C0210
S.12.01.02.01;R0020C0210
S.12.01.02.01;R0030C0210
S.12.01.02.01;R0080C0210
S.12.01.02.01;R0090C0210
S.12.01.02.01;R0100C0210
S.12.01.02.01;R0110C0210
S.12.01.02.01;R0120C0210
S.12.01.02.01;R0130C0210
S.12.01.02.01;R0200C0210
S.17.01.02.01;R0010C0020
S.17.01.02.01;R0050C0020
S.17.01.02.01;R0060C0020
S.17.01.02.01;R0140C0020
S.17.01.02.01;R0150C0020
S.17.01.02.01;R0160C0020
S.17.01.02.01;R0240C0020
S.17.01.02.01;R0250C0020
S.17.01.02.01;R0260C0020
S.17.01.02.01;R0270C0020
S.17.01.02.01;R0280C0020
S.17.01.02.01;R0290C0020
S.17.01.02.01;R0300C0020
S.17.01.02.01;R0310C0020
S.17.01.02.01;R0320C0020
S.17.01.02.01;R0330C0020
S.17.01.02.01;R0340C0020
S.17.01.02.01;R0010C0030
S.17.01.02.01;R0050C0030
S.17.01.02.01;R0060C0030
S.17.01.02.01;R0140C0030
S.17.01.02.01;R0150C0030
S.17.01.02.01;R0160C0030
S.17.01.02.01;R0240C0030
S.17.01.02.01;R0250C0030
S.17.01.02.01;R0260C0030
S.17.01.02.01;R0270C0030
S.17.01.02.01;R0280C0030
S.17.01.02.01;R0290C0030
S.17.01.02.01;R0300C0030
S.17.01.02.01;R0310C0030
S.17.01.02.01;R0320C0030
S.17.01.02.01;R0330C0030
S.17.01.02.01;R0340C0030
S.17.01.02.01;R0010C0040
S.17.01.02.01;R0050C0040
S.17.01.02.01;R0060C0040
S.17.01.02.01;R0140C0040
S.17.01.02.01;R0150C0040
S.17.01.02.01;R0160C0040
S.17.01.02.01;R0240C0040
S.17.01.02.01;R0250C0040
S.17.01.02.01;R0260C0040
S.17.01.02.01;R0270C0040
S.17.01.02.01;R0280C0040
S.17.01.02.01;R0290C0040
S.17.01.02.01;R0300C0040
S.17.01.02.01;R0310C0040
S.17.01.02.01;R0320C0040
S.17.01.02.01;R0330C0040
S.17.01.02.01;R0340C0040
S.17.01.02.01;R0010C0050
S.17.01.02.01;R0050C0050
S.17.01.02.01;R0060C0050
S.17.01.02.01;R0140C0050
S.17.01.02.01;R0150C0050
S.17.01.02.01;R0160C0050
S.17.01.02.01;R0240C0050
S.17.01.02.01;R0250C0050
S.17.01.02.01;R0260C0050
S.17.01.02.01;R0270C0050
S.17.01.02.01;R0280C0050
S.17.01.02.01;R0290C0050
S.17.01.02.01;R0300C0050
S.17.01.02.01;R0310C0050
S.17.01.02.01;R0320C0050
S.17.01.02.01;R0330C0050
S.17.01.02.01;R0340C0050
S.17.01.02.01;R0010C0060
S.17.01.02.01;R0050C0060
S.17.01.02.01;R0060C0060
S.17.01.02.01;R0140C0060
S.17.01.02.01;R0150C0060
S.17.01.02.01;R0160C0060
S.17.01.02.01;R0240C0060
S.17.01.02.01;R0250C0060
S.17.01.02.01;R0260C0060
S.17.01.02.01;R0270C0060
S.17.01.02.01;R0280C0060
S.17.01.02.01;R0290C0060
S.17.01.02.01;R0300C0060
S.17.01.02.01;R0310C0060
S.17.01.02.01;R0320C0060
S.17.01.02.01;R0330C0060
S.17.01.02.01;R0340C0060
S.17.01.02.01;R0010C0070
S.17.01.02.01;R0050C0070
S.17.01.02.01;R0060C0070
S.17.01.02.01;R0140C0070
S.17.01.02.01;R0150C0070
S.17.01.02.01;R0160C0070
S.17.01.02.01;R0240C0070
S.17.01.02.01;R0250C0070
S.17.01.02.01;R0260C0070
S.17.01.02.01;R0270C0070
S.17.01.02.01;R0280C0070
S.17.01.02.01;R0290C0070
S.17.01.02.01;R0300C0070
S.17.01.02.01;R0310C0070
S.17.01.02.01;R0320C0070
S.17.01.02.01;R0330C0070
S.17.01.02.01;R0340C0070
S.17.01.02.01;R0010C0080
S.17.01.02.01;R0050C0080
S.17.01.02.01;R0060C0080
S.17.01.02.01;R0140C0080
S.17.01.02.01;R0150C0080
S.17.01.02.01;R0160C0080
S.17.01.02.01;R0240C0080
S.17.01.02.01;R0250C0080
S.17.01.02.01;R0260C0080
S.17.01.02.01;R0270C0080
S.17.01.02.01;R0280C0080
S.17.01.02.01;R0290C0080
S.17.01.02.01;R0300C0080
S.17.01.02.01;R0310C0080
S.17.01.02.01;R0320C0080
S.17.01.02.01;R0330C0080
S.17.01.02.01;R0340C0080
S.17.01.02.01;R0010C0090
S.17.01.02.01;R0050C0090
S.17.01.02.01;R0060C0090
S.17.01.02.01;R0140C0090
S.17.01.02.01;R0150C0090
S.17.01.02.01;R0160C0090
S.17.01.02.01;R0240C0090
